Date,GC=F,VIX,ETH,BTC
2018-01-02,1313.699951171875,9.770000457763672,884.4439697265625,14982.099609375
2018-01-03,1316.199951171875,9.149999618530273,962.719970703125,15201.0
2018-01-04,1319.4000244140625,9.220000267028809,980.9219970703125,15599.2001953125
2018-01-05,1320.300048828125,9.220000267028809,997.719970703125,17429.5
2018-01-08,1318.5999755859375,9.520000457763672,1148.530029296875,15170.099609375
2018-01-09,1311.699951171875,10.079999923706055,1299.739990234375,14595.400390625
2018-01-10,1317.4000244140625,9.819999694824219,1255.8199462890625,14973.2998046875
2018-01-11,1320.5999755859375,9.880000114440918,1154.9300537109375,13405.7998046875
2018-01-12,1333.4000244140625,10.15999984741211,1273.199951171875,13980.599609375
2018-01-16,1335.4000244140625,11.65999984741211,1053.68994140625,11490.5
2018-01-17,1338.0,11.90999984741211,1014.25,11188.599609375
2018-01-18,1326.0,12.220000267028809,1036.280029296875,11474.900390625
2018-01-19,1331.9000244140625,11.270000457763672,1039.0999755859375,11607.400390625
2018-01-22,1330.9000244140625,11.029999732971191,1003.260009765625,10931.400390625
2018-01-23,1335.699951171875,11.100000381469727,986.22900390625,10868.400390625
2018-01-24,1355.9000244140625,11.470000267028809,1058.780029296875,11359.400390625
2018-01-25,1362.4000244140625,11.579999923706055,1056.030029296875,11259.400390625
2018-01-26,1351.5999755859375,11.079999923706055,1055.1700439453125,11171.400390625
2018-01-29,,13.84000015258789,1182.3599853515625,11296.400390625
2018-01-30,1335.4000244140625,14.789999961853027,1071.1300048828125,10106.2998046875
2018-01-31,1339.0,13.539999961853027,1118.31005859375,10221.099609375
2018-02-01,1344.300048828125,13.470000267028809,1036.7900390625,9170.5400390625
2018-02-02,1333.699951171875,17.309999465942383,915.7849731445312,8830.75
2018-02-05,1333.0,37.31999969482422,697.9509887695312,6955.27001953125
2018-02-06,1326.0999755859375,29.979999542236328,793.1220092773438,7754.0
2018-02-07,1311.5999755859375,27.729999542236328,757.0679931640625,7621.2998046875
2018-02-08,1316.9000244140625,33.459999084472656,817.8070068359375,8265.58984375
2018-02-09,1313.0999755859375,29.059999465942383,883.864990234375,8736.98046875
2018-02-12,1324.199951171875,25.610000610351562,868.7069702148438,8926.5703125
2018-02-13,1328.0999755859375,24.969999313354492,845.2579956054688,8598.3095703125
2018-02-14,1355.5,19.260000228881836,923.5609741210938,9494.6298828125
2018-02-15,1352.0999755859375,19.1299991607666,936.9760131835938,10166.400390625
2018-02-16,1353.199951171875,19.459999084472656,944.2100219726562,10233.900390625
2018-02-20,1328.800048828125,20.600000381469727,895.3709716796875,11403.7001953125
2018-02-21,1330.0,20.020000457763672,849.9710083007812,10690.400390625
2018-02-22,1330.5999755859375,18.719999313354492,812.844970703125,10005.0
2018-02-23,1328.199951171875,16.489999771118164,864.1890258789062,10301.099609375
2018-02-26,1330.699951171875,15.800000190734863,869.3150024414062,10366.7001953125
2018-02-27,1315.5,18.59000015258789,878.2650146484375,10725.599609375
2018-02-28,1315.5,19.850000381469727,855.198974609375,10397.900390625
2018-03-01,1302.9000244140625,22.469999313354492,872.2000122070312,10951.0
2018-03-02,1321.0999755859375,19.59000015258789,856.85302734375,11086.400390625
2018-03-05,1318.0999755859375,18.729999542236328,853.6840209960938,11573.2998046875
2018-03-06,1333.5999755859375,18.360000610351562,816.9509887695312,10779.900390625
2018-03-07,1326.0,17.760000228881836,752.8309936523438,9965.5703125
2018-03-08,1319.9000244140625,16.540000915527344,704.5960083007812,9395.009765625
2018-03-09,1322.4000244140625,14.640000343322754,728.916015625,9337.5498046875
2018-03-12,1319.4000244140625,15.779999732971191,699.8309936523438,9205.1201171875
2018-03-13,1325.9000244140625,16.350000381469727,690.8270263671875,9194.849609375
2018-03-14,1324.4000244140625,17.229999542236328,614.291015625,8269.8095703125
2018-03-15,1316.800048828125,16.59000015258789,611.3040161132812,8300.8603515625
2018-03-16,1311.300048828125,15.800000190734863,601.666015625,8338.349609375
2018-03-19,1316.800048828125,19.020000457763672,556.7260131835938,8630.650390625
2018-03-20,1311.0999755859375,18.200000762939453,557.1749877929688,8913.4697265625
2018-03-21,1320.699951171875,17.860000610351562,561.7319946289062,8929.2802734375
2018-03-22,1326.5999755859375,23.34000015258789,539.7020263671875,8728.4697265625
2018-03-23,1349.300048828125,24.8700008392334,539.6190185546875,8879.6201171875
2018-03-26,1354.4000244140625,21.030000686645508,489.95098876953125,8209.400390625
2018-03-27,1341.300048828125,22.5,450.1159973144531,7833.0400390625
2018-03-28,1324.199951171875,22.8700008392334,446.27899169921875,7954.47998046875
2018-03-29,1322.800048828125,19.969999313354492,385.9679870605469,7165.7001953125
2018-04-02,1342.0999755859375,23.6200008392334,386.42498779296875,7083.7998046875
2018-04-03,1332.800048828125,21.100000381469727,416.89300537109375,7456.10986328125
2018-04-04,1335.800048828125,20.059999465942383,380.5429992675781,6853.83984375
2018-04-05,1324.300048828125,18.940000534057617,383.23199462890625,6811.47021484375
2018-04-06,1331.9000244140625,21.489999771118164,370.2850036621094,6636.31982421875
2018-04-09,1336.300048828125,21.770000457763672,398.5260009765625,6770.72998046875
2018-04-10,1342.0,20.469999313354492,414.2430114746094,6834.759765625
2018-04-11,1356.5,20.239999771118164,430.5400085449219,6968.31982421875
2018-04-12,1338.4000244140625,18.489999771118164,492.9410095214844,7889.25
2018-04-13,1344.800048828125,17.40999984741211,492.7349853515625,7895.9599609375
2018-04-16,1347.5,16.559999465942383,511.1470031738281,8058.669921875
2018-04-17,1347.199951171875,15.25,502.8940124511719,7902.08984375
2018-04-18,1351.199951171875,15.600000381469727,524.7890014648438,8163.419921875
2018-04-19,1346.800048828125,15.960000038146973,567.8889770507812,8294.3095703125
2018-04-20,1336.699951171875,16.8799991607666,615.718017578125,8845.830078125
2018-04-23,1322.5,16.34000015258789,642.5479736328125,8930.8798828125
2018-04-24,1331.4000244140625,18.020000457763672,708.1580200195312,9697.5
2018-04-25,1321.199951171875,17.84000015258789,615.416015625,8845.740234375
2018-04-26,1316.300048828125,16.239999771118164,662.8090209960938,9281.509765625
2018-04-27,1320.300048828125,15.40999984741211,647.031982421875,8987.0498046875
2018-04-30,1316.199951171875,15.930000305175781,669.9240112304688,9240.5498046875
2018-05-01,1303.800048828125,15.489999771118164,673.6129760742188,9119.009765625
2018-05-02,1302.5999755859375,15.970000267028809,687.1489868164062,9235.919921875
2018-05-03,1310.699951171875,15.899999618530273,779.5430297851562,9743.8603515625
2018-05-04,1312.699951171875,14.770000457763672,785.6240234375,9700.759765625
2018-05-07,1312.199951171875,14.75,753.7249755859375,9373.009765625
2018-05-08,1312.0,14.710000038146973,752.8569946289062,9234.8203125
2018-05-09,1311.300048828125,13.420000076293945,752.2750244140625,9325.1796875
2018-05-10,1320.800048828125,13.229999542236328,727.2769775390625,9043.9404296875
2018-05-11,1319.0,12.649999618530273,679.5859985351562,8441.490234375
2018-05-14,1316.5,12.930000305175781,730.5490112304688,8716.7900390625
2018-05-15,1288.9000244140625,14.630000114440918,708.8709716796875,8510.3798828125
2018-05-16,1290.199951171875,13.420000076293945,707.0499877929688,8368.830078125
2018-05-17,1288.199951171875,13.430000305175781,672.656982421875,8094.31982421875
2018-05-18,1290.199951171875,13.420000076293945,694.3670043945312,8250.9697265625
2018-05-21,1290.199951171875,13.079999923706055,699.2219848632812,8418.990234375
2018-05-22,1291.699951171875,13.220000267028809,647.7410278320312,8041.77978515625
2018-05-23,1289.300048828125,12.579999923706055,583.5850219726562,7557.81982421875
2018-05-24,1303.699951171875,12.529999732971191,601.7550048828125,7587.33984375
2018-05-25,1303.300048828125,13.220000267028809,586.7340087890625,7480.14013671875
2018-05-29,1298.699951171875,17.020000457763672,565.3880004882812,7472.58984375
2018-05-30,1301.5,14.9399995803833,559.5900268554688,7406.52001953125
2018-05-31,1300.0999755859375,15.430000305175781,577.64501953125,7494.169921875
2018-06-01,1294.800048828125,13.460000038146973,580.0430297851562,7541.4501953125
2018-06-04,1293.0999755859375,12.739999771118164,592.9849853515625,7514.47021484375
2018-06-05,1297.5,12.399999618530273,609.302978515625,7633.759765625
2018-06-06,1297.0999755859375,11.640000343322754,607.1240234375,7653.97998046875
2018-06-07,1298.699951171875,12.130000114440918,605.18701171875,7678.240234375
2018-06-08,1298.0999755859375,12.180000305175781,601.0770263671875,7624.919921875
2018-06-11,1298.9000244140625,12.350000381469727,533.2839965820312,6906.919921875
2018-06-12,1295.0999755859375,12.34000015258789,496.8429870605469,6582.35986328125
2018-06-13,1296.9000244140625,12.9399995803833,477.4939880371094,6349.89990234375
2018-06-14,1304.0,12.119999885559082,519.7420043945312,6675.35009765625
2018-06-15,1274.5999755859375,11.979999542236328,491.0039978027344,6456.580078125
2018-06-18,1276.199951171875,12.3100004196167,518.8909912109375,6734.81982421875
2018-06-19,1275.5999755859375,13.350000381469727,537.9569702148438,6769.93994140625
2018-06-20,1271.199951171875,12.789999961853027,536.2680053710938,6776.5498046875
2018-06-21,1267.199951171875,14.640000343322754,527.3670043945312,6729.740234375
2018-06-22,1267.4000244140625,13.770000457763672,465.8169860839844,6083.68994140625
2018-06-25,1265.5999755859375,17.329999923706055,460.30999755859375,6249.18017578125
2018-06-26,1256.5999755859375,15.920000076293945,432.7720031738281,6093.669921875
2018-06-27,1252.800048828125,17.90999984741211,442.364990234375,6157.1298828125
2018-06-28,1247.800048828125,16.850000381469727,422.364990234375,5903.43994140625
2018-06-29,1251.300048828125,16.09000015258789,436.0090026855469,6218.2998046875
2018-07-02,1239.800048828125,15.600000381469727,475.34698486328125,6614.18017578125
2018-07-03,1251.5999755859375,16.139999389648438,464.19500732421875,6529.58984375
2018-07-05,1257.300048828125,14.970000267028809,474.4119873046875,6639.14013671875
2018-07-06,1254.300048828125,13.369999885559082,474.0119934082031,6673.5
2018-07-09,1258.0999755859375,12.6899995803833,476.6820068359375,6741.75
2018-07-10,1253.800048828125,12.640000343322754,434.42401123046875,6329.9501953125
2018-07-11,1242.800048828125,13.630000114440918,446.51800537109375,6394.7099609375
2018-07-12,1245.0,12.579999923706055,430.0740051269531,6228.81005859375
2018-07-13,1239.5999755859375,12.180000305175781,434.0270080566406,6238.0498046875
2018-07-16,1238.0999755859375,12.829999923706055,480.6579895019531,6741.75
2018-07-17,1225.699951171875,12.0600004196167,501.00201416015625,7321.0400390625
2018-07-18,1226.300048828125,12.100000381469727,480.51300048828125,7370.77978515625
2018-07-19,1222.4000244140625,12.869999885559082,469.6189880371094,7466.85986328125
2018-07-20,1229.5,12.859999656677246,450.697998046875,7354.1298828125
2018-07-23,1224.0,12.619999885559082,450.8529968261719,7711.10986328125
2018-07-24,1223.9000244140625,12.40999984741211,479.37298583984375,8424.26953125
2018-07-25,1231.4000244140625,12.289999961853027,472.4930114746094,8181.39013671875
2018-07-26,1225.300048828125,12.140000343322754,464.0369873046875,7951.580078125
2018-07-27,1222.5999755859375,13.029999732971191,469.6659851074219,8165.009765625
2018-07-30,1221.300048828125,14.260000228881836,457.08099365234375,8180.47998046875
2018-07-31,1223.699951171875,12.829999923706055,433.86700439453125,7780.43994140625
2018-08-01,1217.9000244140625,13.149999618530273,420.74700927734375,7624.91015625
2018-08-02,1210.5999755859375,12.1899995803833,412.6210021972656,7567.14990234375
2018-08-03,1214.199951171875,11.640000343322754,418.2619934082031,7434.39013671875
2018-08-06,1208.5999755859375,11.270000457763672,406.6579895019531,6951.7998046875
2018-08-07,1209.5999755859375,10.930000305175781,380.2149963378906,6753.1201171875
2018-08-08,1212.5999755859375,10.850000381469727,356.6130065917969,6305.7998046875
2018-08-09,1211.9000244140625,11.270000457763672,365.5880126953125,6568.22998046875
2018-08-10,1211.0999755859375,13.15999984741211,334.1759948730469,6184.7099609375
2018-08-13,1191.300048828125,14.779999732971191,286.4949951171875,6297.56982421875
2018-08-14,1193.0,13.3100004196167,278.9320068359375,6199.7099609375
2018-08-15,1177.5,14.640000343322754,282.364013671875,6308.52001953125
2018-08-16,1176.199951171875,13.449999809265137,288.0459899902344,6334.72998046875
2018-08-17,1176.5,12.640000343322754,315.72900390625,6580.6298828125
2018-08-20,1186.800048828125,12.489999771118164,274.31500244140625,6308.52978515625
2018-08-21,1192.5999755859375,12.859999656677246,281.9440002441406,6488.759765625
2018-08-22,1196.300048828125,12.25,271.34100341796875,6376.7099609375
2018-08-23,1187.0,12.40999984741211,277.10400390625,6534.8798828125
2018-08-24,1206.300048828125,11.989999771118164,282.9670104980469,6719.9599609375
2018-08-27,1209.0,12.15999984741211,285.6029968261719,6884.64013671875
2018-08-28,1207.4000244140625,12.5,296.4989929199219,7096.27978515625
2018-08-29,1204.5,12.25,289.31201171875,7047.16015625
2018-08-30,1197.699951171875,13.529999732971191,284.1050109863281,6978.22998046875
2018-08-31,1200.300048828125,12.859999656677246,283.0039978027344,7037.580078125
2018-09-04,1192.699951171875,13.15999984741211,285.7229919433594,7361.66015625
2018-09-05,1194.9000244140625,13.90999984741211,232.33099365234375,6792.830078125
2018-09-06,1197.9000244140625,14.649999618530273,230.21499633789062,6529.169921875
2018-09-07,1193.5999755859375,14.880000114440918,217.2030029296875,6467.06982421875
2018-09-10,1193.0,14.15999984741211,197.07899475097656,6329.7001953125
2018-09-11,1195.4000244140625,13.220000267028809,185.0659942626953,6321.2001953125
2018-09-12,1204.699951171875,13.140000343322754,183.33099365234375,6351.7998046875
2018-09-13,1202.0,12.369999885559082,211.35400390625,6517.31005859375
2018-09-14,1195.0,12.069999694824219,211.74899291992188,6512.7099609375
2018-09-17,1199.699951171875,13.680000305175781,197.875,6281.2001953125
2018-09-18,1196.800048828125,12.789999961853027,209.97500610351562,6371.2998046875
2018-09-19,1202.199951171875,11.75,209.968994140625,6398.5400390625
2018-09-20,1206.199951171875,11.800000190734863,224.59100341796875,6519.669921875
