Date,GC=F,VIX,ETH,BTC,eth_ret_1d,eth_ret_3d,eth_ret_7d,eth_sma_10,eth_sma_30,eth_ema_12,eth_ema_26,eth_sma_ratio_10,eth_ema_ratio_12_26,eth_vol_7d,eth_vol_14d,eth_bb_z_20,eth_rsi_14,eth_macd,eth_macd_signal,eth_macd_hist,eth_obv,btc_ret_1d,btc_ret_3d,btc_ret_7d,btc_sma_10,btc_sma_30,btc_ema_12,btc_ema_26,btc_sma_ratio_10,btc_ema_ratio_12_26,btc_vol_7d,btc_vol_14d,btc_bb_z_20,btc_rsi_14,btc_macd,btc_macd_signal,btc_macd_hist,btc_obv,vix_ret_1d,vix_ret_3d,vix_ret_7d,vix_sma_10,vix_sma_30,vix_ema_12,vix_ema_26,vix_sma_ratio_10,vix_ema_ratio_12_26,vix_vol_7d,vix_vol_14d,vix_bb_z_20,vix_rsi_14,vix_macd,vix_macd_signal,vix_macd_hist,vix_obv,gc=f_ret_1d,gc=f_ret_3d,gc=f_ret_7d,gc=f_sma_10,gc=f_sma_30,gc=f_ema_12,gc=f_ema_26,gc=f_sma_ratio_10,gc=f_ema_ratio_12_26,gc=f_vol_7d,gc=f_vol_14d,gc=f_bb_z_20,gc=f_rsi_14,gc=f_macd,gc=f_macd_signal,gc=f_macd_hist,gc=f_obv,btc_eth_spread_1d
2018-01-02,1313.699951171875,9.770000457763672,884.4439697265625,14982.099609375,,,,,,884.4439697265625,884.4439697265625,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,14982.099609375,14982.099609375,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,9.770000457763672,9.770000457763672,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,1313.699951171875,1313.699951171875,,0.0,,,,,0.0,0.0,0.0,0.0,
2018-01-03,1316.199951171875,9.149999618530273,962.719970703125,15201.0,0.08850306368278194,,,,,896.4864314152644,890.2421920211227,,0.007014090603777445,,,,,6.244239394141687,1.2488478788283375,4.995391515313349,5093159936.0,0.014610795304552893,,,,,15015.776592548076,14998.314453125,,0.0011642734573709124,,,,,17.462139423076223,3.492427884615245,13.96971153846098,16871900160.0,-0.06345965303826762,,,,,9.674615713266226,9.72407446967231,,-0.005086217362931245,,,,,-0.04945875640608399,-0.009891751281216799,-0.039567005124867195,0.0,0.0019030220696665268,,,,,1314.0845665564905,1313.8851363570602,,0.0001517866318079264,,,,,0.1994301994302532,0.03988603988605064,0.15954415954420256,42.0,-0.07389226837822904
2018-01-04,1319.4000244140625,9.220000267028809,980.9219970703125,15599.2001953125,0.018906875229661724,,,,,909.476518439118,896.959214617359,,0.013955265320618748,,,,,12.517303821759015,3.502539067414473,9.014764754344542,11596019712.0,0.026195657872015055,,,,,15105.534069896448,15042.824508101852,,0.004168735848830929,,,,,62.709561794596084,15.335854666611414,47.37370712798467,38655099904.0,0.007650344417148736,,,,,9.604674875383546,9.686735639846866,,-0.008471457002063532,,,,,-0.08206076446331956,-0.02432555391763735,-0.0577352105456822,0.0,0.002431297189563253,,,,,1314.9023293038092,1314.2936465835048,,0.00046312536158610307,,,,,0.6086827203043867,0.15364537596971786,0.4550373443346689,44.0,0.007288782642353331
2018-01-05,1320.300048828125,9.220000267028809,997.719970703125,17429.5,0.017124678295504125,0.12807594924479315,,,,923.0524341720421,904.4229743274157,,0.02059817184374424,,,,,18.629459844626467,6.527923222856872,12.101536621769595,18279169536.0,0.11733292616101543,0.16335496722325527,,,,15463.06728991238,15219.615285279493,,0.015995936826889157,,,,,243.4520046328871,60.959084659866555,182.49291997302055,62495998976.0,0.0,-0.05629479682345451,,,,9.545494166405895,9.652162649267751,,-0.011051252111872412,,,,,-0.10666848286185626,-0.04079413970648114,-0.06587434315537513,0.0,0.0006821467313995466,0.005024052600719475,,,,1315.7327476921655,1314.7385652682915,,0.000756182597922983,,,,,0.9941824238740082,0.32175278555057596,0.6724296383234323,45.0,0.1002082478655113
2018-01-08,1318.5999755859375,9.520000457763672,1148.530029296875,15170.099609375,0.15115469572837092,0.19300530190315168,,,,957.741294960478,922.5049783992274,,0.03819634298602281,,,,,35.23631656125053,12.269601890535604,22.96671467071493,26730139648.0,-0.12963082077081955,-0.002032786699888156,,,,15417.995339060475,15215.947457434715,,0.01327869212160282,,,,,202.04788162576006,89.17684405304526,112.8710375727148,44082099200.0,0.03253798069916325,0.040437251875298896,,,,9.541572057384014,9.642372857304487,,-0.010453941308037229,,,,,-0.10080079992047253,-0.05279547174927942,-0.04800532817119311,0.0,-0.0012876415809394137,0.0018234497060463095,,,,1316.1738596758228,1315.0245956621911,,0.000873948683106418,,,,,1.1492640136316368,0.48725503116678814,0.6620089824648486,4.0,-0.2807855164991905
2018-01-09,1311.699951171875,10.079999923706055,1299.739990234375,14595.400390625,0.13165520890217386,0.325018700891881,,,,1010.3564788487698,950.4483126092383,,0.06303148255907498,,,,,59.90816623953151,21.797314760334785,38.110851479196725,34695599616.0,-0.03788368129071751,-0.06434944049177205,,,,15291.442270070402,15169.981008041403,,0.008006685174135386,,,,,121.46126202899904,95.63372764823602,25.827534380763026,27422099456.0,0.05882347048478298,0.09327544813123789,,,,9.62440711374125,9.674789677037936,,-0.0052076132896472505,,,,,-0.05038256329668478,-0.0523128900587605,0.001930326762075718,0.0,-0.005232841302758584,-0.0058360414580157505,,,,1315.4855660598307,1314.7783256999455,,0.0005379160471852273,,,,,0.7072403598851906,0.5312520969104687,0.17598826297472192,-12.0,-0.16953889019289137
2018-01-10,1317.4000244140625,9.819999694824219,1255.8199462890625,14973.2998046875,-0.033791407724088396,0.2586897958993908,,,,1048.1200892241995,973.0684336225586,,0.07712885652064272,,,,,75.05165560164096,32.44818292859602,42.60347267304494,25480649216.0,0.025891678470515656,-0.1409220112632319,,,,15242.497275396108,15155.412030015188,,0.0057461483203788966,,,,,87.08524538092024,93.92403119477287,-6.838785813852624,45922899968.0,-0.025793673695410413,0.06507585796293713,,,,9.654498280061707,9.685545974651735,,-0.003205569894694893,,,,,-0.03104769459002732,-0.04805985096501386,0.017012156374986542,0.0,0.004345561831495814,-0.002196488909196437,,,,1315.780098114328,1314.972525604695,,0.0006141364126688309,,,,,0.8075725096330189,0.5865161794549788,0.22105633017804005,58.0,0.05968308619460405
2018-01-11,1320.5999755859375,9.880000114440918,1154.9300537109375,13405.7998046875,-0.08033786441778834,0.0055723614105072095,0.3058261385037193,,,1064.5523914529285,986.5396647402163,,0.07907713141291195,0.08561368235203112,,,,78.01272671271226,41.56109168541927,36.451635027292994,18244749312.0,-0.10468634305373903,-0.11630113513540652,-0.10521220962255085,,,14959.92843374863,15025.811124435359,,-0.0043846345559068745,0.08507357311917566,,,,-65.88269068672889,61.96268681847252,-127.84537750520141,29388800000.0,0.006110022554106864,0.03781508816878909,0.011258920319684895,,,9.689190869966202,9.699949985006489,,-0.001109192836758699,0.03930913689900103,,,,-0.010759115040286815,-0.040599703780068455,0.02984058873978164,0.0,0.0024289897620870526,0.0015167602282952775,0.0052523594964797304,,,1316.5216177253449,1315.3893737514536,,0.0008607671587479437,0.0031584333862261773,,,,1.1322439738912635,0.6956617383422358,0.43658223554902775,67.0,-0.024348478635950688
2018-01-12,1333.4000244140625,10.15999984741211,1273.199951171875,13980.599609375,0.10240438118388306,-0.02041949871659654,0.3225028979527558,,,1096.652016025074,1007.7737600314503,,0.0881926673610256,0.08702478591716264,,,,88.87825599362384,51.02452454706019,37.85373144656365,23467049472.0,0.042876949757709726,-0.04212291302710014,-0.08028421752680748,,,14809.262460768072,14948.388049245703,,-0.009307062943462396,0.0872238100888436,,,,-139.12558847763103,21.745031759251813,-160.87062023688284,41454499840.0,0.0283400536161873,0.007936500427734305,0.11038254327753383,,,9.761623020342496,9.734027752592091,,0.002834927991966829,0.027163671427175528,,,,0.027595267750404773,-0.02696070947397381,0.054555977224378584,0.0,0.00969260113945225,0.016543473393286767,0.013067978939577785,,,1319.1182956774553,1316.723496022758,,0.0018187566804503952,0.004650823256390927,,,,2.394799654697408,1.0354893216132703,1.3593103330841378,81.0,-0.05952743142617334
2018-01-16,1335.4000244140625,11.65999984741211,1053.68994140625,11490.5,-0.17240811984290783,-0.16095460617591317,0.07418321186931398,1101.17158203125,,1090.0424660837166,1011.1749586518058,-0.043119202674495205,0.07799590640284881,0.11997612580201361,,,,78.86750743191078,56.59312112403031,22.27438630788047,15061909504.0,-0.1781110738415832,-0.23260068589538185,-0.2633917216183397,14682.74990234375,,14298.683620649907,14692.248193746022,-0.21741498858018304,-0.026787226019203914,0.10585012218194251,,,,-393.56457309611505,-61.31688921182156,-332.2476838842935,22600699904.0,0.14763779749288775,0.1873727301190946,0.26464202925339,9.848000049591064,,10.05368099373782,9.876692352208389,0.1839967291527671,0.017919829353584937,0.05636154370888633,,,,0.17698864152943194,0.013829160726707338,0.1631594808027246,0.0,0.001499924976286815,0.01366327589678451,0.01212672404421511,1320.6699951171875,,1321.6231770215488,1318.106942570262,0.011153451923141544,0.0026676397321983014,0.0046452658305232465,,,,3.5162344512868913,1.5316383475479947,1.9845961037388966,94.0,-0.005702953998675375
